@relation dataset_1

@attribute time date 'HH:mm:ss dd/MM/yyyy'
@attribute ABPmean numeric
@attribute HR numeric
@attribute PULSE numeric
@attribute RESP numeric
@attribute SpO2 numeric
@attribute class {0,1}

@data
'09:20:30 19/05/1995',109,98,98,22,100,0
'09:20:31 19/05/1995',107,97,98,22,100,0
'09:20:32 19/05/1995',107,97,98,22,100,0
'09:20:33 19/05/1995',107,96,98,22,99,0
'09:20:34 19/05/1995',106,96,98,22,99,0
'09:20:35 19/05/1995',106,96,97,22,98,0
'09:20:36 19/05/1995',106,96,97,22,98,0
'09:20:37 19/05/1995',106,96,97,22,98,0
'09:20:38 19/05/1995',106,96,97,22,98,0
'09:20:39 19/05/1995',106,97,97,22,99,0
'09:20:40 19/05/1995',106,97,97,22,99,0
'09:20:41 19/05/1995',106,97,97,22,99,0
'09:20:42 19/05/1995',106,97,97,21,99,0
'09:20:43 19/05/1995',106,97,97,21,99,0
'09:20:44 19/05/1995',107,97,97,21,99,0
'09:20:45 19/05/1995',107,97,97,21,99,0
'09:20:46 19/05/1995',107,97,96,21,99,0
'09:20:47 19/05/1995',108,97,96,21,99,0
'09:20:48 19/05/1995',107,97,96,21,99,0
'09:20:49 19/05/1995',108,96,96,21,98,0
'09:20:50 19/05/1995',108,96,96,21,98,0
'09:20:51 19/05/1995',107,95,96,20,98,0
'09:20:52 19/05/1995',107,95,96,20,98,0
'09:20:53 19/05/1995',107,95,96,20,98,0
'09:20:54 19/05/1995',107,95,96,20,98,0
'09:20:55 19/05/1995',107,95,96,20,98,0
'09:20:56 19/05/1995',107,96,96,20,98,0
'09:20:57 19/05/1995',108,96,96,20,98,0
'09:20:58 19/05/1995',108,96,96,21,98,0
'09:20:59 19/05/1995',108,96,96,21,98,0
'09:21:00 19/05/1995',108,97,96,21,98,0
'09:21:01 19/05/1995',108,97,96,21,98,0
'09:21:02 19/05/1995',108,98,0,26,0,1
'09:21:03 19/05/1995',108,98,0,26,0,1
'09:21:04 19/05/1995',109,99,0,25,0,1
'09:21:05 19/05/1995',109,99,0,24,0,1
'09:21:06 19/05/1995',109,101,0,23,0,1
'09:21:07 19/05/1995',109,101,0,22,0,1
'09:21:08 19/05/1995',109,101,0,21,0,1
'09:21:09 19/05/1995',110,101,0,21,0,1
'09:21:11 19/05/1995',110,101,0,21,0,1
'09:21:12 19/05/1995',110,101,0,21,0,1
'09:21:13 19/05/1995',110,98,0,21,0,1
'09:21:14 19/05/1995',110,98,0,21,0,1
'09:21:15 19/05/1995',111,98,0,21,0,1
'09:21:16 19/05/1995',111,98,0,20,0,1
'09:21:17 19/05/1995',111,96,0,20,0,1
'09:21:18 19/05/1995',111,96,0,20,0,1
'09:21:19 19/05/1995',112,97,0,20,0,1
'09:21:20 19/05/1995',112,97,1,20,1,1
'09:21:21 19/05/1995',112,98,0,20,0,1
'09:21:22 19/05/1995',112,98,0,20,0,1
'09:21:23 19/05/1995',112,99,0,19,0,1
'09:21:24 19/05/1995',112,99,0,18,0,1
'09:21:25 19/05/1995',113,99,95,17,99,0
'09:21:26 19/05/1995',113,99,95,16,99,0
'09:21:27 19/05/1995',113,98,95,15,99,0
'09:21:28 19/05/1995',113,98,95,15,99,0
'09:21:29 19/05/1995',112,98,95,15,99,0
'09:21:30 19/05/1995',112,99,95,15,99,0
'09:21:31 19/05/1995',112,99,0,15,0,1
'09:21:32 19/05/1995',112,98,0,15,0,1
'09:21:33 19/05/1995',112,96,0,15,0,1
'09:21:34 19/05/1995',112,96,0,15,0,1
'09:21:35 19/05/1995',111,96,0,13,0,1
'09:21:36 19/05/1995',111,96,0,13,0,1
'09:21:37 19/05/1995',110,96,0,12,0,1
'09:21:38 19/05/1995',109,96,0,12,0,1
'09:21:39 19/05/1995',109,96,0,13,0,1
'09:21:40 19/05/1995',110,95,0,12,0,1
'09:21:41 19/05/1995',112,95,0,11,0,1
'09:21:42 19/05/1995',112,95,0,14,0,1
'09:21:43 19/05/1995',113,95,0,14,0,1
'09:21:44 19/05/1995',113,95,0,14,0,1
'09:21:45 19/05/1995',113,95,0,14,0,1
'09:21:46 19/05/1995',113,96,0,14,0,1
'09:21:47 19/05/1995',113,96,0,15,0,1
'09:21:48 19/05/1995',113,96,0,23,0,1
'09:21:49 19/05/1995',113,96,0,22,0,1
'09:21:50 19/05/1995',112,95,0,31,0,1
'09:21:51 19/05/1995',112,95,0,31,0,1
'09:21:52 19/05/1995',112,94,0,31,0,1
'09:21:54 19/05/1995',111,94,1,30,1,1
'09:21:55 19/05/1995',111,94,0,30,0,1
'09:21:56 19/05/1995',111,94,0,30,0,1
'09:21:57 19/05/1995',110,93,0,26,0,1
'09:21:58 19/05/1995',111,93,0,26,0,1
'09:21:59 19/05/1995',111,92,0,26,0,1
'09:22:00 19/05/1995',111,92,0,23,0,1
'09:22:01 19/05/1995',112,93,0,23,0,1
'09:22:02 19/05/1995',112,93,0,25,0,1
'09:22:03 19/05/1995',113,93,0,25,100,1
'09:22:04 19/05/1995',113,93,96,25,100,0
'09:22:05 19/05/1995',113,94,96,25,100,0
'09:22:06 19/05/1995',113,94,96,25,100,0
'09:22:07 19/05/1995',112,95,96,25,100,0
'09:22:08 19/05/1995',112,95,96,24,100,0
'09:22:09 19/05/1995',112,96,96,24,100,0
'09:22:10 19/05/1995',111,96,95,22,100,0
'09:22:11 19/05/1995',111,96,95,22,99,0
'09:22:12 19/05/1995',111,96,95,22,99,0
'09:22:13 19/05/1995',109,97,95,21,99,0
'09:22:14 19/05/1995',110,97,95,21,99,0
'09:22:15 19/05/1995',110,96,95,21,99,0
'09:22:16 19/05/1995',109,95,95,21,99,0
'09:22:17 19/05/1995',110,95,95,21,99,0
'09:22:18 19/05/1995',109,95,94,21,99,0
'09:22:19 19/05/1995',109,95,94,21,99,0
'09:22:20 19/05/1995',110,94,94,21,99,0
'09:22:21 19/05/1995',109,94,94,21,99,0
'09:22:22 19/05/1995',109,94,94,21,99,0
'09:22:23 19/05/1995',110,94,94,21,99,0
'09:22:24 19/05/1995',110,94,93,21,99,0
'09:22:25 19/05/1995',110,94,93,20,99,0
'09:22:26 19/05/1995',111,93,93,20,99,0
'09:22:27 19/05/1995',111,93,93,20,99,0
'09:22:28 19/05/1995',111,93,93,20,99,0
'09:22:29 19/05/1995',112,93,93,20,99,0
'09:22:30 19/05/1995',111,93,93,20,99,0
'09:22:31 19/05/1995',112,93,93,20,99,0
'09:22:32 19/05/1995',112,94,93,20,99,0
'09:22:33 19/05/1995',111,94,90,20,99,0
'09:22:34 19/05/1995',111,95,90,20,99,0
'09:22:35 19/05/1995',111,95,90,20,98,0
'09:22:37 19/05/1995',110,95,90,20,98,0
'09:22:38 19/05/1995',111,95,90,20,98,0
'09:22:39 19/05/1995',111,95,90,20,97,0
'09:22:40 19/05/1995',110,95,93,20,97,0
'09:22:41 19/05/1995',110,95,93,20,97,0
'09:22:42 19/05/1995',110,95,94,20,98,0
'09:22:43 19/05/1995',109,95,95,21,97,0
'09:22:44 19/05/1995',110,95,95,21,97,0
'09:22:45 19/05/1995',109,95,97,21,98,0
'09:22:46 19/05/1995',109,95,97,21,98,0
'09:22:47 19/05/1995',110,97,97,21,98,0
'09:22:48 19/05/1995',110,97,97,21,98,0
'09:22:49 19/05/1995',110,97,97,24,98,0
'09:22:50 19/05/1995',111,97,97,23,98,0
'09:22:51 19/05/1995',110,97,97,27,98,0
'09:22:52 19/05/1995',110,97,97,27,98,0
'09:22:53 19/05/1995',111,96,97,26,98,0
'09:22:54 19/05/1995',110,96,97,27,98,0
'09:22:55 19/05/1995',109,96,97,27,98,0
'09:22:56 19/05/1995',109,96,97,27,98,0
'09:22:57 19/05/1995',108,96,97,27,98,0
'09:22:58 19/05/1995',108,95,97,27,98,0
'09:22:59 19/05/1995',108,95,97,27,98,0
'09:23:00 19/05/1995',107,95,97,99,97,1
'09:23:01 19/05/1995',108,95,97,99,97,1
'09:23:02 19/05/1995',108,94,97,99,97,1
'09:23:03 19/05/1995',108,94,90,99,97,1
'09:23:04 19/05/1995',109,94,89,99,98,1
'09:23:05 19/05/1995',109,94,88,99,98,1
'09:23:06 19/05/1995',109,94,88,99,98,1
'09:23:07 19/05/1995',109,94,88,27,98,0
'09:23:08 19/05/1995',109,95,88,27,98,0
'09:23:09 19/05/1995',108,95,88,26,98,0
'09:23:10 19/05/1995',109,94,88,26,98,0
'09:23:11 19/05/1995',108,94,92,26,98,0
'09:23:12 19/05/1995',108,94,92,23,98,0
'09:23:13 19/05/1995',109,94,92,23,98,0
'09:23:14 19/05/1995',109,93,92,23,98,0
'09:23:15 19/05/1995',109,93,92,23,98,0
'09:23:16 19/05/1995',110,92,92,23,98,0
'09:23:17 19/05/1995',110,92,93,23,98,0
'09:23:19 19/05/1995',110,93,93,23,98,0
'09:23:20 19/05/1995',111,93,94,23,98,0
'09:23:21 19/05/1995',111,94,94,23,99,0
'09:23:22 19/05/1995',111,94,94,22,99,0
'09:23:23 19/05/1995',111,95,94,22,99,0
'09:23:24 19/05/1995',111,95,94,22,99,0
'09:23:25 19/05/1995',111,95,94,20,99,0
'09:23:26 19/05/1995',111,94,93,20,99,0
'09:23:27 19/05/1995',110,94,93,20,99,0
'09:23:28 19/05/1995',110,94,93,20,99,0
'09:23:29 19/05/1995',111,94,93,20,99,0
'09:23:30 19/05/1995',109,94,93,20,98,0
'09:23:31 19/05/1995',109,94,93,20,98,0
'09:23:32 19/05/1995',110,93,93,20,98,0
'09:23:33 19/05/1995',109,93,93,20,98,0
'09:23:34 19/05/1995',109,93,93,23,99,0
'09:23:35 19/05/1995',110,93,93,22,98,0
'09:23:36 19/05/1995',109,93,93,23,98,0
'09:23:37 19/05/1995',110,93,93,23,98,0
'09:23:38 19/05/1995',110,93,93,23,98,0
'09:23:39 19/05/1995',110,93,93,23,98,0
'09:23:40 19/05/1995',110,93,93,23,98,0
'09:23:41 19/05/1995',110,93,93,23,98,0
'09:23:42 19/05/1995',109,93,94,23,98,0
'09:23:43 19/05/1995',110,94,94,23,98,0
'09:23:44 19/05/1995',110,94,94,23,97,0
'09:23:45 19/05/1995',109,94,94,23,97,0
'09:23:46 19/05/1995',109,94,94,23,97,0
'09:23:47 19/05/1995',109,94,94,23,97,0
'09:23:48 19/05/1995',109,94,94,23,97,0
'09:23:49 19/05/1995',110,95,94,23,97,0
'09:23:50 19/05/1995',109,95,95,23,97,0
'09:23:51 19/05/1995',109,95,95,23,97,0
'09:23:52 19/05/1995',110,95,95,23,98,0
'09:23:53 19/05/1995',109,95,95,23,98,0
'09:23:54 19/05/1995',109,95,95,23,98,0
'09:23:55 19/05/1995',109,95,95,22,98,0
'09:23:56 19/05/1995',109,95,95,21,98,0
'09:23:57 19/05/1995',108,95,95,23,98,0
'09:23:58 19/05/1995',109,95,94,23,98,0
'09:23:59 19/05/1995',108,95,94,23,98,0
'09:24:00 19/05/1995',107,95,94,23,98,0
'09:24:02 19/05/1995',108,95,94,23,98,0
'09:24:03 19/05/1995',108,95,94,23,98,0
'09:24:04 19/05/1995',107,95,94,22,98,0
'09:24:05 19/05/1995',107,95,94,22,98,0
'09:24:06 19/05/1995',108,95,94,22,98,0
'09:24:07 19/05/1995',108,95,94,23,99,0
'09:24:08 19/05/1995',108,95,94,23,99,0
'09:24:09 19/05/1995',108,95,94,23,99,0
'09:24:10 19/05/1995',108,94,94,23,99,0
'09:24:11 19/05/1995',109,94,94,23,99,0
'09:24:12 19/05/1995',108,94,94,26,99,0
'09:24:13 19/05/1995',109,94,94,26,99,0
'09:24:14 19/05/1995',109,94,94,25,99,0
'09:24:15 19/05/1995',109,94,94,23,99,0
'09:24:16 19/05/1995',109,94,94,23,99,0
'09:24:17 19/05/1995',108,94,94,23,99,0
'09:24:18 19/05/1995',108,94,94,23,98,0
'09:24:19 19/05/1995',108,94,94,23,98,0
'09:24:20 19/05/1995',108,94,94,23,98,0
'09:24:21 19/05/1995',107,94,94,24,98,0
'09:24:22 19/05/1995',108,95,94,24,98,0
'09:24:23 19/05/1995',107,95,95,24,98,0
'09:24:24 19/05/1995',108,95,95,24,98,0
'09:24:25 19/05/1995',108,95,95,24,98,0
'09:24:26 19/05/1995',108,95,96,24,98,0
'09:24:27 19/05/1995',108,96,96,24,98,0
'09:24:28 19/05/1995',108,96,96,24,99,0
'09:24:29 19/05/1995',107,96,96,24,99,0
'09:24:30 19/05/1995',107,96,96,24,99,0
'09:24:31 19/05/1995',107,96,96,24,99,0
'09:24:32 19/05/1995',106,96,96,23,99,0
'09:24:33 19/05/1995',106,96,96,23,99,0
'09:24:34 19/05/1995',106,96,96,23,99,0
'09:24:35 19/05/1995',106,96,96,21,99,0
'09:24:36 19/05/1995',107,96,96,21,99,0
'09:24:37 19/05/1995',106,96,96,21,99,0
'09:24:38 19/05/1995',106,96,96,21,99,0
'09:24:39 19/05/1995',107,97,96,21,99,0
'09:24:40 19/05/1995',107,97,96,21,99,0
